AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,11,9,,,,
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,All Students,11,11,0.0,9.1,45.5,45.5
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,11,8,,,,
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,All Students,11,13,0.0,38.5,46.2,15.4
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,Historically Underperforming,11,10,,,,
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,All Students,11,12,0.0,0.0,16.7,83.3
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,11,11,0.0,0.0,18.2,81.8
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,All Students,11,12,0.0,0.0,0.0,100.0
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,11,11,0.0,0.0,0.0,100.0
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,All Students,11,12,0.0,0.0,16.7,83.3
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,11,11,0.0,0.0,9.1,90.9
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,11,58,17.2,53.4,24.1,5.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,27,7.4,59.3,22.2,11.1
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,11,56,25.0,48.2,16.1,10.7
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Historically Underperforming,11,24,20.8,41.7,16.7,20.8
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,11,58,10.3,72.4,13.8,3.4
